SerialNumber,EventType,EventValue1,EventValue2,EventValue3,EventTime,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
SerialNr0,0,9,0,0,2018-04-09T06:49:31.044Z,2018-04-09T06:49:31.044Z,0,2018-04-09T06:49:31.044Z
SerialNr1,0,8,0,0,2018-04-09T06:49:31.474Z,2018-04-09T06:49:31.474Z,0,2018-04-09T06:49:31.474Z
SerialNr2,0,8,0,0,2018-04-09T06:49:31.488Z,2018-04-09T06:49:31.488Z,0,2018-04-09T06:49:31.488Z
SerialNr3,0,8,0,0,2018-04-09T06:49:31.493Z,2018-04-09T06:49:31.493Z,0,2018-04-09T06:49:31.493Z
SerialNr4,0,7,0,0,2018-04-09T06:49:31.498Z,2018-04-09T06:49:31.498Z,0,2018-04-09T06:49:31.498Z
SerialNr5,0,8,0,0,2018-04-09T06:49:31.502Z,2018-04-09T06:49:31.502Z,0,2018-04-09T06:49:31.502Z
SerialNr6,0,8,0,0,2018-04-09T06:49:31.507Z,2018-04-09T06:49:31.507Z,0,2018-04-09T06:49:31.507Z
SerialNr7,0,8,0,0,2018-04-09T06:49:31.511Z,2018-04-09T06:49:31.511Z,0,2018-04-09T06:49:31.511Z
SerialNr8,0,8,0,0,2018-04-09T06:49:31.517Z,2018-04-09T06:49:31.517Z,0,2018-04-09T06:49:31.517Z
SerialNr9,0,8,0,0,2018-04-09T06:49:31.522Z,2018-04-09T06:49:31.522Z,0,2018-04-09T06:49:31.522Z
SerialNr0,0,9,0,0,2018-04-09T06:49:32.536Z,2018-04-09T06:49:32.536Z,0,2018-04-09T06:49:32.536Z
SerialNr1,0,8,0,0,2018-04-09T06:49:32.540Z,2018-04-09T06:49:32.540Z,0,2018-04-09T06:49:32.540Z
SerialNr2,0,8,0,0,2018-04-09T06:49:32.547Z,2018-04-09T06:49:32.547Z,0,2018-04-09T06:49:32.547Z
SerialNr3,0,8,0,0,2018-04-09T06:49:32.559Z,2018-04-09T06:49:32.559Z,0,2018-04-09T06:49:32.559Z
