SerialNumber,EventType,EventValue1,EventValue2,EventValue3,EventTime,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
SerialNr0,0,8,0,0,2018-04-12T05:23:01.423Z,2018-04-12T05:23:01.423Z,0,2018-04-12T05:23:01.423Z
SerialNr1,0,8,0,0,2018-04-12T05:23:01.880Z,2018-04-12T05:23:01.880Z,0,2018-04-12T05:23:01.880Z
SerialNr2,0,8,0,0,2018-04-12T05:23:01.891Z,2018-04-12T05:23:01.891Z,0,2018-04-12T05:23:01.891Z
SerialNr3,0,8,0,0,2018-04-12T05:23:01.897Z,2018-04-12T05:23:01.897Z,0,2018-04-12T05:23:01.897Z
SerialNr4,0,8,0,0,2018-04-12T05:23:01.903Z,2018-04-12T05:23:01.903Z,0,2018-04-12T05:23:01.903Z
SerialNr5,0,9,0,0,2018-04-12T05:23:01.910Z,2018-04-12T05:23:01.910Z,0,2018-04-12T05:23:01.910Z
SerialNr6,0,8,0,0,2018-04-12T05:23:01.921Z,2018-04-12T05:23:01.921Z,0,2018-04-12T05:23:01.921Z
SerialNr7,0,8,0,0,2018-04-12T05:23:01.932Z,2018-04-12T05:23:01.932Z,0,2018-04-12T05:23:01.932Z
SerialNr8,0,8,0,0,2018-04-12T05:23:01.965Z,2018-04-12T05:23:01.965Z,0,2018-04-12T05:23:01.965Z
SerialNr9,0,8,0,0,2018-04-12T05:23:01.973Z,2018-04-12T05:23:01.973Z,0,2018-04-12T05:23:01.973Z
SerialNr0,0,8,0,0,2018-04-12T05:23:03.001Z,2018-04-12T05:23:03.001Z,0,2018-04-12T05:23:03.001Z
SerialNr1,0,8,0,0,2018-04-12T05:23:03.019Z,2018-04-12T05:23:03.019Z,0,2018-04-12T05:23:03.019Z
SerialNr2,0,8,0,0,2018-04-12T05:23:03.031Z,2018-04-12T05:23:03.031Z,0,2018-04-12T05:23:03.031Z
SerialNr3,0,8,0,0,2018-04-12T05:23:03.045Z,2018-04-12T05:23:03.045Z,0,2018-04-12T05:23:03.045Z
SerialNr4,0,8,0,0,2018-04-12T05:23:03.056Z,2018-04-12T05:23:03.056Z,0,2018-04-12T05:23:03.056Z
SerialNr5,0,9,0,0,2018-04-12T05:23:03.070Z,2018-04-12T05:23:03.070Z,0,2018-04-12T05:23:03.070Z
SerialNr6,0,8,0,0,2018-04-12T05:23:03.082Z,2018-04-12T05:23:03.082Z,0,2018-04-12T05:23:03.082Z
SerialNr7,0,8,0,0,2018-04-12T05:23:03.090Z,2018-04-12T05:23:03.090Z,0,2018-04-12T05:23:03.090Z
SerialNr8,0,8,0,0,2018-04-12T05:23:03.106Z,2018-04-12T05:23:03.106Z,0,2018-04-12T05:23:03.106Z
SerialNr9,0,8,0,0,2018-04-12T05:23:03.142Z,2018-04-12T05:23:03.142Z,0,2018-04-12T05:23:03.142Z
SerialNr0,0,8,0,0,2018-04-12T05:23:04.161Z,2018-04-12T05:23:04.161Z,0,2018-04-12T05:23:04.161Z
SerialNr1,0,8,0,0,2018-04-12T05:23:04.189Z,2018-04-12T05:23:04.189Z,0,2018-04-12T05:23:04.189Z
SerialNr2,0,8,0,0,2018-04-12T05:23:04.206Z,2018-04-12T05:23:04.206Z,0,2018-04-12T05:23:04.206Z
SerialNr3,0,8,0,0,2018-04-12T05:23:04.212Z,2018-04-12T05:23:04.212Z,0,2018-04-12T05:23:04.212Z
SerialNr4,0,8,0,0,2018-04-12T05:23:04.219Z,2018-04-12T05:23:04.219Z,0,2018-04-12T05:23:04.219Z
SerialNr5,0,9,0,0,2018-04-12T05:23:04.225Z,2018-04-12T05:23:04.225Z,0,2018-04-12T05:23:04.225Z
SerialNr6,0,8,0,0,2018-04-12T05:23:04.232Z,2018-04-12T05:23:04.232Z,0,2018-04-12T05:23:04.232Z
SerialNr7,0,8,0,0,2018-04-12T05:23:04.238Z,2018-04-12T05:23:04.238Z,0,2018-04-12T05:23:04.238Z
SerialNr8,0,9,0,0,2018-04-12T05:23:04.247Z,2018-04-12T05:23:04.247Z,0,2018-04-12T05:23:04.247Z
SerialNr9,0,8,0,0,2018-04-12T05:23:04.254Z,2018-04-12T05:23:04.254Z,0,2018-04-12T05:23:04.254Z
SerialNr0,0,8,0,0,2018-04-12T05:23:05.259Z,2018-04-12T05:23:05.259Z,0,2018-04-12T05:23:05.259Z
SerialNr3,1,2,49,1,2018-04-12T05:23:05.269Z,2018-04-12T05:23:05.269Z,0,2018-04-12T05:23:05.269Z
SerialNr1,1,4,49,0,2018-04-12T05:23:05.280Z,2018-04-12T05:23:05.280Z,0,2018-04-12T05:23:05.280Z
SerialNr2,1,4,49,0,2018-04-12T05:23:05.288Z,2018-04-12T05:23:05.288Z,0,2018-04-12T05:23:05.288Z
SerialNr9,1,2,49,0,2018-04-12T05:23:05.296Z,2018-04-12T05:23:05.296Z,0,2018-04-12T05:23:05.296Z
SerialNr0,1,0,49,0,2018-04-12T05:23:05.303Z,2018-04-12T05:23:05.303Z,0,2018-04-12T05:23:05.303Z
SerialNr7,1,0,49,0,2018-04-12T05:23:05.310Z,2018-04-12T05:23:05.310Z,0,2018-04-12T05:23:05.310Z
