SerialNumber,EventType,EventValue1,EventValue2,EventValue3,EventTime,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
SerialNr0,0,8,0,0,2018-04-12T08:35:25.399Z,2018-04-12T08:35:25.399Z,0,2018-04-12T08:35:25.399Z
SerialNr1,0,8,0,0,2018-04-12T08:35:25.591Z,2018-04-12T08:35:25.591Z,0,2018-04-12T08:35:25.591Z
SerialNr2,0,8,0,0,2018-04-12T08:35:25.598Z,2018-04-12T08:35:25.598Z,0,2018-04-12T08:35:25.598Z
SerialNr3,0,8,0,0,2018-04-12T08:35:25.608Z,2018-04-12T08:35:25.608Z,0,2018-04-12T08:35:25.608Z
SerialNr4,0,8,0,0,2018-04-12T08:35:25.617Z,2018-04-12T08:35:25.617Z,0,2018-04-12T08:35:25.617Z
SerialNr5,0,8,0,0,2018-04-12T08:35:25.625Z,2018-04-12T08:35:25.625Z,0,2018-04-12T08:35:25.625Z
SerialNr6,0,8,0,0,2018-04-12T08:35:25.634Z,2018-04-12T08:35:25.634Z,0,2018-04-12T08:35:25.634Z
SerialNr7,0,7,0,0,2018-04-12T08:35:25.640Z,2018-04-12T08:35:25.640Z,0,2018-04-12T08:35:25.640Z
SerialNr8,0,8,0,0,2018-04-12T08:35:25.646Z,2018-04-12T08:35:25.646Z,0,2018-04-12T08:35:25.646Z
SerialNr9,0,8,0,0,2018-04-12T08:35:25.658Z,2018-04-12T08:35:25.658Z,0,2018-04-12T08:35:25.658Z
SerialNr0,0,8,0,0,2018-04-12T08:35:26.672Z,2018-04-12T08:35:26.672Z,0,2018-04-12T08:35:26.672Z
SerialNr1,0,8,0,0,2018-04-12T08:35:26.697Z,2018-04-12T08:35:26.697Z,0,2018-04-12T08:35:26.697Z
SerialNr2,0,8,0,0,2018-04-12T08:35:26.717Z,2018-04-12T08:35:26.717Z,0,2018-04-12T08:35:26.717Z
SerialNr3,0,8,0,0,2018-04-12T08:35:26.733Z,2018-04-12T08:35:26.733Z,0,2018-04-12T08:35:26.733Z
SerialNr4,0,8,0,0,2018-04-12T08:35:26.746Z,2018-04-12T08:35:26.746Z,0,2018-04-12T08:35:26.746Z
SerialNr5,0,8,0,0,2018-04-12T08:35:26.758Z,2018-04-12T08:35:26.758Z,0,2018-04-12T08:35:26.758Z
SerialNr6,0,8,0,0,2018-04-12T08:35:26.769Z,2018-04-12T08:35:26.769Z,0,2018-04-12T08:35:26.769Z
SerialNr7,0,7,0,0,2018-04-12T08:35:26.776Z,2018-04-12T08:35:26.776Z,0,2018-04-12T08:35:26.776Z
SerialNr8,0,8,0,0,2018-04-12T08:35:26.783Z,2018-04-12T08:35:26.783Z,0,2018-04-12T08:35:26.783Z
SerialNr9,0,8,0,0,2018-04-12T08:35:26.790Z,2018-04-12T08:35:26.790Z,0,2018-04-12T08:35:26.790Z
SerialNr0,0,8,0,0,2018-04-12T08:35:27.800Z,2018-04-12T08:35:27.800Z,0,2018-04-12T08:35:27.800Z
SerialNr1,0,8,0,0,2018-04-12T08:35:27.808Z,2018-04-12T08:35:27.808Z,0,2018-04-12T08:35:27.808Z
SerialNr2,0,8,0,0,2018-04-12T08:35:27.816Z,2018-04-12T08:35:27.816Z,0,2018-04-12T08:35:27.816Z
SerialNr3,0,8,0,0,2018-04-12T08:35:27.823Z,2018-04-12T08:35:27.823Z,0,2018-04-12T08:35:27.823Z
SerialNr4,0,8,0,0,2018-04-12T08:35:27.834Z,2018-04-12T08:35:27.834Z,0,2018-04-12T08:35:27.834Z
SerialNr5,0,8,0,0,2018-04-12T08:35:27.843Z,2018-04-12T08:35:27.843Z,0,2018-04-12T08:35:27.843Z
SerialNr6,0,8,0,0,2018-04-12T08:35:27.854Z,2018-04-12T08:35:27.854Z,0,2018-04-12T08:35:27.854Z
SerialNr7,0,8,0,0,2018-04-12T08:35:27.862Z,2018-04-12T08:35:27.862Z,0,2018-04-12T08:35:27.862Z
SerialNr8,0,8,0,0,2018-04-12T08:35:27.879Z,2018-04-12T08:35:27.879Z,0,2018-04-12T08:35:27.879Z
SerialNr9,0,8,0,0,2018-04-12T08:35:27.889Z,2018-04-12T08:35:27.889Z,0,2018-04-12T08:35:27.889Z
SerialNr0,0,8,0,0,2018-04-12T08:35:28.898Z,2018-04-12T08:35:28.898Z,0,2018-04-12T08:35:28.898Z
SerialNr7,1,2,49,0,2018-04-12T08:35:28.921Z,2018-04-12T08:35:28.921Z,0,2018-04-12T08:35:28.921Z
SerialNr6,1,4,49,1,2018-04-12T08:35:28.934Z,2018-04-12T08:35:28.934Z,0,2018-04-12T08:35:28.934Z
SerialNr1,0,8,0,0,2018-04-12T08:35:28.941Z,2018-04-12T08:35:28.941Z,0,2018-04-12T08:35:28.941Z
SerialNr2,0,9,0,0,2018-04-12T08:35:28.951Z,2018-04-12T08:35:28.951Z,0,2018-04-12T08:35:28.951Z
SerialNr3,0,8,0,0,2018-04-12T08:35:28.959Z,2018-04-12T08:35:28.959Z,0,2018-04-12T08:35:28.959Z
SerialNr4,0,8,0,0,2018-04-12T08:35:28.973Z,2018-04-12T08:35:28.973Z,0,2018-04-12T08:35:28.973Z
SerialNr5,0,8,0,0,2018-04-12T08:35:28.987Z,2018-04-12T08:35:28.987Z,0,2018-04-12T08:35:28.987Z
