SerialNumber,EventType,EventValue1,EventValue2,EventValue3,EventTime,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
SerialNr0,0,8,0,0,2019-01-25T12:28:56.352Z,2019-01-25T12:28:56.352Z,0,2019-01-25T12:28:56.352Z
SerialNr1,0,8,0,0,2019-01-25T12:28:56.369Z,2019-01-25T12:28:56.369Z,0,2019-01-25T12:28:56.369Z
SerialNr2,0,8,0,0,2019-01-25T12:28:56.376Z,2019-01-25T12:28:56.376Z,0,2019-01-25T12:28:56.376Z
SerialNr3,0,8,0,0,2019-01-25T12:28:56.382Z,2019-01-25T12:28:56.382Z,0,2019-01-25T12:28:56.382Z
SerialNr4,0,8,0,0,2019-01-25T12:28:56.388Z,2019-01-25T12:28:56.388Z,0,2019-01-25T12:28:56.388Z
SerialNr5,0,8,0,0,2019-01-25T12:28:56.397Z,2019-01-25T12:28:56.397Z,0,2019-01-25T12:28:56.397Z
SerialNr6,0,8,0,0,2019-01-25T12:28:56.404Z,2019-01-25T12:28:56.404Z,0,2019-01-25T12:28:56.404Z
SerialNr7,0,8,0,0,2019-01-25T12:28:56.412Z,2019-01-25T12:28:56.412Z,0,2019-01-25T12:28:56.412Z
SerialNr8,0,8,0,0,2019-01-25T12:28:56.418Z,2019-01-25T12:28:56.418Z,0,2019-01-25T12:28:56.418Z
SerialNr9,0,8,0,0,2019-01-25T12:28:56.424Z,2019-01-25T12:28:56.424Z,0,2019-01-25T12:28:56.424Z
SerialNr0,0,8,0,0,2019-01-25T12:28:57.432Z,2019-01-25T12:28:57.432Z,0,2019-01-25T12:28:57.432Z
SerialNr1,0,8,0,0,2019-01-25T12:28:57.438Z,2019-01-25T12:28:57.438Z,0,2019-01-25T12:28:57.438Z
SerialNr2,0,8,0,0,2019-01-25T12:28:57.443Z,2019-01-25T12:28:57.443Z,0,2019-01-25T12:28:57.443Z
SerialNr3,0,8,0,0,2019-01-25T12:28:57.449Z,2019-01-25T12:28:57.449Z,0,2019-01-25T12:28:57.449Z
SerialNr4,0,8,0,0,2019-01-25T12:28:57.455Z,2019-01-25T12:28:57.455Z,0,2019-01-25T12:28:57.455Z
SerialNr5,0,8,0,0,2019-01-25T12:28:57.460Z,2019-01-25T12:28:57.460Z,0,2019-01-25T12:28:57.460Z
SerialNr6,0,8,0,0,2019-01-25T12:28:57.466Z,2019-01-25T12:28:57.466Z,0,2019-01-25T12:28:57.466Z
SerialNr7,0,8,0,0,2019-01-25T12:28:57.472Z,2019-01-25T12:28:57.472Z,0,2019-01-25T12:28:57.472Z
SerialNr8,0,8,0,0,2019-01-25T12:28:57.480Z,2019-01-25T12:28:57.480Z,0,2019-01-25T12:28:57.480Z
SerialNr9,0,8,0,0,2019-01-25T12:28:57.492Z,2019-01-25T12:28:57.492Z,0,2019-01-25T12:28:57.492Z
SerialNr0,0,8,0,0,2019-01-25T12:28:58.498Z,2019-01-25T12:28:58.498Z,0,2019-01-25T12:28:58.498Z
SerialNr1,0,8,0,0,2019-01-25T12:28:58.506Z,2019-01-25T12:28:58.506Z,0,2019-01-25T12:28:58.506Z
SerialNr2,0,8,0,0,2019-01-25T12:28:58.513Z,2019-01-25T12:28:58.513Z,0,2019-01-25T12:28:58.513Z
SerialNr3,0,7,0,0,2019-01-25T12:28:58.521Z,2019-01-25T12:28:58.521Z,0,2019-01-25T12:28:58.521Z
SerialNr4,0,8,0,0,2019-01-25T12:28:58.527Z,2019-01-25T12:28:58.527Z,0,2019-01-25T12:28:58.527Z
SerialNr5,0,8,0,0,2019-01-25T12:28:58.533Z,2019-01-25T12:28:58.533Z,0,2019-01-25T12:28:58.533Z
SerialNr6,0,8,0,0,2019-01-25T12:28:58.539Z,2019-01-25T12:28:58.539Z,0,2019-01-25T12:28:58.539Z
SerialNr7,0,8,0,0,2019-01-25T12:28:58.547Z,2019-01-25T12:28:58.547Z,0,2019-01-25T12:28:58.547Z
SerialNr8,0,8,0,0,2019-01-25T12:28:58.553Z,2019-01-25T12:28:58.553Z,0,2019-01-25T12:28:58.553Z
SerialNr9,0,7,0,0,2019-01-25T12:28:58.560Z,2019-01-25T12:28:58.560Z,0,2019-01-25T12:28:58.560Z
SerialNr0,0,8,0,0,2019-01-25T12:28:59.568Z,2019-01-25T12:28:59.568Z,0,2019-01-25T12:28:59.568Z
